p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
HNRNPU-AS1,6.64584738852962e-188,0.603569553672992,0.684,0.203,6.6418598800965e-184,0,HNRNPU-AS1
DGKD,1.35310677448222e-187,0.390840450196173,0.399,0.047,1.35229491041753e-183,0,DGKD
DUSP6,3.74978626194798e-187,0.59104167732135,0.675,0.176,3.74753639019081e-183,0,DUSP6
CXADR,3.22121851249205e-186,0.453285955293921,0.485,0.078,3.21928578138456e-182,0,CXADR
RAPH1,3.99043567407876e-186,0.359413940855231,0.345,0.031,3.98804141267431e-182,0,RAPH1
ZNF503,4.39923634556627e-186,0.391823728954783,0.372,0.039,4.39659680375893e-182,0,ZNF503
C1orf21,5.89041273077926e-186,0.416306014485744,0.451,0.064,5.8868784831408e-182,0,C1orf21
PCYOX1,1.09777871613588e-185,0.366967662456851,0.363,0.036,1.0971200489062e-181,0,PCYOX1
EVPL,2.54524765392805e-184,0.291732465980665,0.268,0.011,2.5437205053357e-180,0,EVPL
TNS1,5.16914979905897e-184,0.351934436999764,0.361,0.035,5.16604830917954e-180,0,TNS1
MT-ND3,1.48034275121068e-183,0.302000158233723,1,0.978,1.47945454555995e-179,0,MT-ND3
WDR66,6.18976988428771e-183,0.442046342489439,0.496,0.081,6.18605602235714e-179,0,WDR66
ZNF281,6.50683348201443e-183,0.593381171610942,0.697,0.205,6.50292938192522e-179,0,ZNF281
MT-ND4L,6.96462100405785e-183,0.6117787098507,0.957,0.545,6.96044223145542e-179,0,MT-ND4L
NCKAP1,1.8747541619845e-182,0.400063041137759,0.415,0.054,1.87362930948731e-178,0,NCKAP1
TMEM54,3.19909334335235e-182,0.30174048276994,0.291,0.017,3.19717388734634e-178,0,TMEM54
